Review #,Brand,Style,Country,Stars,Top Ten
1.7313796001003212,New Touch,Cup,Japan,3.75,
1.7300369249548384,Just Way,Pack,Taiwan,1,
1.7286942498093554,Nissin,Cup,USA,2.25,
1.7273515746638723,Wei Lih,Pack,Taiwan,2.75,
1.7260088995183893,Ching's Secret,Pack,India,3.75,
1.7246662243729065,Samyang Foods,Pack,South Korea,4.75,
1.7233235492274233,Acecook,Cup,Japan,4,
1.7219808740819404,Ikeda Shoku,Tray,Japan,3.75,
1.7206381989364576,Ripe'n'Dry,Pack,Japan,0.25,
1.7192955237909744,KOKA,Pack,Singapore,2.5,
1.7179528486454916,Tao Kae Noi,Pack,Thailand,5,
1.7166101735000083,Yamachan,Pack,USA,5,
1.7152674983545255,Nongshim,Pack,South Korea,4.25,
1.7139248232090423,Nissin,Bowl,Japan,4.5,
1.7125821480635595,Nissin,Pack,Hong Kong,5,
1.7112394729180762,KOKA,Cup,Singapore,3.5,
1.7098967977725934,TRDP,Pack,India,3.75,
1.7085541226271106,Yamachan,Pack,USA,5,
1.7072114474816273,Binh Tay,Pack,Vietnam,4,
1.7058687723361445,Paldo,Pack,South Korea,4,
1.7045260971906613,Nissin,Cup,Hong Kong,4.25,
1.7031834220451785,Jackpot Teriyaki,Pack,USA,5,
1.7018407468996952,KOKA,Cup,Singapore,5,
1.7004980717542124,Yamachan,Pack,USA,4.75,
1.6991553966087294,Ching's Secret,Pack,India,4.25,
1.6978127214632464,Samyang Foods,Bowl,South Korea,4.25,
1.6964700463177635,Yum-Mie,Pack,Ghana,3.5,
1.6951273711722805,Nissin,Bowl,Japan,4.75,
1.6937846960267975,MyKuali,Bowl,Malaysia,5,
1.6924420208813145,KOKA,Pack,Singapore,4,
1.6910993457358316,Samyang Foods,Pack,South Korea,5,
1.6897566705903484,Nissin,Pack,Indonesia,4.5,
1.6884139954448656,Ottogi,Pack,South Korea,Unrated,
1.6870713202993828,Sichuan Guangyou,Bowl,China,4,
1.6857286451538995,New Touch,Bowl,Japan,3.75,
1.6843859700084167,KOKA,Pack,Singapore,5,
1.6830432948629335,Lipton,Box,USA,1.5,
1.6817006197174507,KOKA,Cup,Singapore,5,
1.6803579445719674,Acecook,Tray,Japan,1.5,
1.6790152694264846,Nissin,Cup,USA,5,
1.6776725942810014,Wei Lih,Pack,Taiwan,3.25,
1.6763299191355185,Nissin,Cup,Hong Kong,3.75,
1.6749872439900357,Nissin,Cup,USA,5,
1.6736445688445525,Nissin,Cup,Singapore,5,
1.6723018936990697,Lele,Pack,Ghana,3.5,
1.6709592185535864,Nissin,Cup,USA,5,
1.6696165434081036,Fujiwara,Pack,Japan,4,
1.6682738682626204,Nongshim,Pack,South Korea,5,
1.6669311931171376,Nissin,Bowl,Japan,4.75,
1.6655885179716545,Uni-President,Pack,China,4.25,
1.6642458428261715,Ottogi,Pack,South Korea,2,
1.6629031676806887,Maruchan,Bowl,Japan,4.5,
1.6615604925352057,Prima,Pack,Singapore,5,
1.6602178173897226,Uni-President,Pack,Vietnam,0,
1.6588751422442396,Samyang Foods,Bowl,South Korea,4.5,
1.6575324670987568,Sokensha,Pack,Japan,3.5,
1.6561897919532735,Nissin,Pack,Singapore,5,
1.6548471168077907,Nongshim,Pack,South Korea,4.5,
1.653504441662308,Takamori,Pack,Japan,5,
1.6521617665168247,Nissin,Pack,Singapore,4.5,
1.6508190913713419,Nissin,Cup,Singapore,5,
1.6494764162258586,Guava Story,Tray,South Korea,1,
1.6481337410803758,Samurai Ramen,Pack,Japan,4,
1.6467910659348926,Ikeda Shoku,Bowl,Japan,4.5,
1.6454483907894097,Fujiwara,Pack,Japan,3.5,
1.6441057156439265,Uni-President,Bowl,Taiwan,5,
1.6427630404984437,Ogasawara,Pack,Japan,4.5,
1.6414203653529609,Pringles,Can,USA,3.5,
1.6400776902074776,Mom's Dry Noodle,Pack,Taiwan,5,
1.6387350150619948,Samyang Foods,Bowl,South Korea,5,
1.6373923399165116,MyKuali,Pack,Malaysia,5,
1.6360496647710288,Maggi,Pack,India,3.5,
1.6347069896255455,Samyang Foods,Pack,South Korea,3.75,
1.6333643144800627,Indomie,Pack,Indonesia,4,
1.6320216393345797,KOKA,Pack,Singapore,3.75,
1.6306789641890966,Acecook,Bowl,Japan,3.5,
1.6293362890436138,Nongshim,Pack,South Korea,3,
1.6279936138981308,Sichuan Guangyou,Bowl,China,0,
1.6266509387526478,Indomie,Pack,Nigeria,1.5,
1.6253082636071647,Happy Cook,Pack,Taiwan,4,
1.623965588461682,The Ramen Rater Select,Box,Malaysia,5,
1.6226229133161987,KOKA,Cup,Singapore,5,
1.6212802381707159,Nissin,Pack,Germany,3.75,
1.619937563025233,Nissin,Cup,Germany,3.75,
1.6185948878797498,Nissin,Pack,Germany,4.5,
1.617252212734267,Nissin,Cup,Germany,3.75,
1.6159095375887838,Nissin,Pack,Germany,3.5,
1.614566862443301,Nissin,Cup,Germany,3.75,
1.6132241872978177,Nissin,Pack,Hungary,3.75,
1.6118815121523349,Nissin,Cup,Germany,5,
1.6105388370068516,Nissin,Pack,Germany,3.5,
1.6091961618613688,Nissin,Cup,Germany,3,
1.607853486715886,Nissin,Pack,Germany,3.75,
1.6065108115704028,Nissin,Cup,Germany,4.5,
1.60516813642492,Nissin,Pack,Germany,3.5,
1.6038254612794367,Nissin,Cup,Germany,3,
1.602482786133954,Nissin,Pack,Germany,4,
1.6011401109884706,Paldo,Bowl,South Korea,5,
1.5997974358429878,TTL,Pack,Taiwan,4.75,
1.5984547606975048,Samyang Foods,Cup,South Korea,3.75,
1.5971120855520218,Acecook,Bowl,Japan,4.25,
1.595769410406539,E-Zee,Pack,Malaysia,4,
1.594426735261056,Kiki Noodle,Pack,Taiwan,5,
1.593084060115573,Kiki Noodle,Pack,Taiwan,5,
1.5917413849700899,Samyang Foods,Bowl,South Korea,4,
1.590398709824607,Maruchan,Bowl,Japan,4.75,
1.5890560346791238,Ottogi,Pack,South Korea,4.25,
1.587713359533641,Tokyo Noodle,Pack,Japan,2,
1.5863706843881582,GGE,Pack,Taiwan,3.5,
1.585028009242675,Nissin,Cup,Hong Kong,5,
1.5836853340971921,Myojo,Pack,USA,3.75,
1.582342658951709,KOKA,Cup,Singapore,3.5,
1.580999983806226,Acecook,Cup,Japan,4.25,
1.5796573086607428,Paldo,Pack,South Korea,3.5,
1.57831463351526,Sau Tao,Pack,Hong Kong,4,
1.5769719583697768,Nissin,Cup,China,3.75,
1.575629283224294,Wang,Bowl,South Korea,2,
1.5742866080788112,Nissin,Pack,Indonesia,3.25,
1.572943932933328,TTL,Bowl,Taiwan,5,
1.571601257787845,Fujiwara,Pack,Japan,4.5,
1.5702585826423618,Daifuku,Bowl,USA,5,
1.568915907496879,Nissin,Pack,Japan,3.5,
1.5675732323513958,Samyang Foods,Pack,South Korea,Unrated,
1.566230557205913,KOKA,Pack,Singapore,3.5,
1.56488788206043,KOKA,Pack,Singapore,4.25,
1.563545206914947,KOKA,Cup,Singapore,5,
1.562202531769464,KOKA,Bowl,Singapore,3.25,
1.560859856623981,KOKA,Pack,Singapore,4.5,
1.559517181478498,KOKA,Bowl,Singapore,5,
1.558174506333015,KOKA,Pack,Singapore,5,
1.5568318311875322,KOKA,Pack,Singapore,4,
1.555489156042049,KOKA,Pack,Singapore,5,
1.5541464808965662,KOKA,Cup,Singapore,3.5,
1.5528038057510833,KOKA,Pack,Singapore,3,
1.5514611306056,KOKA,Cup,Singapore,5,
1.5501184554601173,KOKA,Pack,Singapore,4.25,
1.548775780314634,KOKA,Bowl,Singapore,5,
1.5474331051691512,KOKA,Cup,Singapore,3.75,
1.546090430023668,Nissin,Cup,Mexico,3.5,
1.5447477548781852,MyKuali,Box,Japan,5,
1.543405079732702,Master Kong,Pack,China,4.5,
